Experiment,Condition,Labeling Protocol,Labeling Target,RMS,Normalized RMS,D,Normalized D
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18303496,0.924256741,2.647012888,0.979842024
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18416063,0.929940946,2.65228631,0.981794081
Full 3D FISH Protocol,Live,No Protocol,No Label,0.17775056,0.897572537,2.621398868,0.970360509
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2334821,1.178995559,2.824293005,1.045465622
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2152437,1.086898595,2.773278509,1.026581638
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2229097,1.125608971,2.796332593,1.035115545
Full 3D FISH Protocol,Live,No Protocol,No Label,0.193426,0.97672753,2.693260861,0.996961588
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21772912,1.099449018,2.781022539,1.029448238
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19302139,0.974684404,2.691561465,0.996332525
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2104064,1.062472074,2.757436575,1.020717446
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22807586,1.151696109,2.810526435,1.040369665
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20677498,1.044134788,2.744854852,1.016060083
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18390056,0.928627691,2.651073662,0.981345196
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20829234,1.051796878,2.750185197,1.018033211
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20430605,1.031667633,2.735953902,1.012765227
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21700239,1.095779308,2.778785459,1.02862014
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16368169,0.826530109,2.546426952,0.942608232
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18980955,0.958465837,2.677781546,0.991231626
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20903899,1.055567175,2.752769418,1.018989809
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18314126,0.924793516,2.64751362,0.980027379
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19619918,0.990731032,2.704690144,1.001192354
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19848871,1.002292285,2.713841181,1.004579784
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16880612,0.852406526,2.574852016,0.953130309
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18735678,0.946080284,2.666909496,0.987207131
Full 3D FISH Protocol,Live,No Protocol,No Label,0.168525,0.850986977,2.573325197,0.952565128
Full 3D FISH Protocol,Live,No Protocol,No Label,0.175377,0.885586964,2.609435137,0.965931907
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19968285,1.008322237,2.718512773,1.006309062
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20411792,1.030717649,2.735263976,1.012509838
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19570622,0.988241772,2.702686222,1.000450564
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20689929,1.044762506,2.745295526,1.016223206
Full 3D FISH Protocol,Live,No Protocol,No Label,0.24326421,1.228391483,2.846584231,1.053717142
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2081129,1.050890774,2.749560348,1.017801911
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21030584,1.061964285,2.757096225,1.020591459
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21844848,1.103081511,2.783214968,1.030259807
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1935038,0.977120391,2.693586694,0.997082202
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16483048,0.83233106,2.552907326,0.945007065
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19555305,0.987468322,2.702061138,1.000219178
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20512086,1.035782113,2.738922883,1.013864252
Full 3D FISH Protocol,Live,No Protocol,No Label,0.1911694,0.965332561,2.683678789,0.993414603
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21327591,1.076962005,2.766958391,1.024242127
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22175649,1.1197857,2.793019788,1.033889247
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20601013,1.040272588,2.742127758,1.015050597
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16649531,0.840737817,2.562188597,0.948442704
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14641851,0.739357634,2.442155956,0.904010345
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18088162,0.913383196,2.636746103,0.976041579
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16859293,0.851329998,2.573694489,0.952701828
Full 3D FISH Protocol,Live,No Protocol,No Label,0.198217,1.000920253,2.712768562,1.004182734
Full 3D FISH Protocol,Live,No Protocol,No Label,0.210744,1.064176826,2.758575876,1.02113918
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18254915,0.921803586,2.644717162,0.978992217
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18313245,0.924749029,2.647472142,0.980012025
Full 3D FISH Protocol,Live,No Protocol,No Label,0.14669582,0.740757944,2.443923555,0.904664655
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20509191,1.035635927,2.738817929,1.013825401
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23319931,1.177567577,2.823599432,1.045208882
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20159042,1.017954738,2.725832676,1.009018663
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21611476,1.091297115,2.77602261,1.027597419
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20978604,1.059339493,2.755329673,1.019937536
Full 3D FISH Protocol,Live,No Protocol,No Label,0.24600458,1.242229307,2.852266006,1.055820358
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19898164,1.004781394,2.715777947,1.005296715
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18299256,0.924042638,2.646813001,0.979768032
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16085541,0.812258473,2.53022453,0.936610598
Full 3D FISH Protocol,Live,No Protocol,No Label,0.16784993,0.847578131,2.569643162,0.951202152
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20400429,1.030143861,2.734846456,1.012355285
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19336179,0.976403294,2.692991717,0.99686196
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19073465,0.963137239,2.681803499,0.992720428
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2009858,1.014901637,2.723531485,1.008166834
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21315326,1.07634267,2.766558865,1.024094235
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18034413,0.910669076,2.634146796,0.975079396
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19405974,0.979927676,2.695906276,0.997940839
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2340939,1.182084915,2.825783715,1.046017436
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19548559,0.987127674,2.701785469,1.000117134
Full 3D FISH Protocol,Live,No Protocol,No Label,0.23919442,1.207840596,2.837702123,1.050429261
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21523194,1.086839211,2.773241238,1.026567842
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21498196,1.085576907,2.772447561,1.026274047
Full 3D FISH Protocol,Live,No Protocol,No Label,0.22073898,1.114647663,2.79005195,1.032790646
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21252619,1.073176205,2.764505872,1.02333428
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20631206,1.041797219,2.743207536,1.015450297
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20198078,1.019925907,2.727309109,1.009565193
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21549325,1.088158727,2.774068009,1.026873887
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21798797,1.100756111,2.781813958,1.029741197
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19017766,0.960324652,2.679387082,0.991825946
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21163487,1.068675379,2.761557801,1.022242996
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21904087,1.106072855,2.785004119,1.030922095
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18996578,0.959254739,2.678463785,0.99148417
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20830356,1.051853534,2.750224218,1.018047655
Full 3D FISH Protocol,Live,No Protocol,No Label,0.18415754,0.929925342,2.652271922,0.981788755
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21090281,1.064978756,2.759110045,1.021336913
Full 3D FISH Protocol,Live,No Protocol,No Label,0.19451472,0.982225151,2.697793213,0.998639324
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20144592,1.017225068,2.725284298,1.008815671
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20526703,1.036520216,2.739452194,1.014060186
Full 3D FISH Protocol,Live,No Protocol,No Label,0.20097183,1.014831094,2.723478108,1.008147075
Full 3D FISH Protocol,Live,No Protocol,No Label,0.21430689,1.082168061,2.770290707,1.025475647
Full 3D FISH Protocol,Live,No Protocol,No Label,0.2173131,1.097348275,2.779744651,1.028975203
